Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
1;2000/01/03 12:00:000;148,25;148,25;137,25;145,75;8545100;-1,7007212647233112;6961,72;7159,33;6388,91;6780,96;0;-2,6307885403075097
2;2000/01/10 12:00:000;146,25;147,47;142,88;146,97;6549700;0,4910998206627138;6785,47;7207,45;6783,22;7173,22;0;5,55710859068922
5;2000/01/24 12:00:000;145,66;145,84;135,53;135,88;9167200;-6,950299549738589;6987,59;7214,58;6809,64;7066,6;0;1,124374046171089
6;2000/01/31 12:00:000;135,81;144,0;135,0;142,59;7663400;4,871652917805074;7054,24;7491,79;6816,54;7444,61;0;5,386142612913533
7;2000/02/07 12:00:000;142,56;144,56;138,03;138,69;7166800;-2,7521737054255406;7450,79;7812,09;7263,19;7611,55;0;2,1346763464966134
8;2000/02/14 12:00:000;139,78;141,22;134,63;135,31;9089100;-3,2501315773430064;7569,01;7699,97;7342,65;7573,78;0;0,06300028142460375
11;2000/02/28 12:00:000;133,38;141,72;132,72;141,13;9775700;5,647925422175541;7732,9;8022,48;7492,23;7960,03;0;2,894881474200497
12;2000/03/06 12:00:000;140,81;142,0;135,03;140,13;11452600;-0,4840900747093927;7960,09;8136,16;7877,19;7975,95;0;0,19904575084323475
13;2000/03/13 12:00:000;136,69;148,0;135,69;146,94;12995900;7,230875202756973;7977,06;7991,07;7411,76;7710,92;0;-3,3932416517633186
14;2000/03/20 12:00:000;146,88;155,75;144,5;153,56;11498400;4,447544326041661;7716,24;7949,72;7677,08;7932,42;0;2,763096057256285
15;2000/03/27 12:00:000;153,38;153,78;147,13;150,38;8124300;-1,9753078386832374;7932,71;8031,21;7522,7;7599,39;0;-4,292673658072042
16;2000/04/03 12:00:000;150,13;153,0;141,39;151,44;9776600;0,8687921476853895;7599,78;7641,53;7205,86;7522,2;0;-1,0260651136983774
17;2000/04/10 12:00:000;151,75;153,11;133,5;136,0;14247900;-10,957954420355563;7534,91;7614,81;7168,9;7214,83;0;-4,340825782232272
18;2000/04/17 12:00:000;135,19;145,13;134,69;143,81;12519600;6,181178752197427;7201,66;7305,94;6890,96;7157,95;0;-0,608792787567429
23;2000/05/08 12:00:000;142,75;143,47;137,75;142,81;6806000;0,042022692872213406;7532,97;7532,97;7013,7;7269,28;0;-3,5632136856527192
24;2000/05/15 12:00:000;142,75;147,72;140,41;141,13;5876900;-1,1413397110203993;7266,08;7398,48;6958,92;6989,03;0;-3,887516697746049
25;2000/05/22 12:00:000;141,25;141,81;136,5;138,0;8598600;-2,327768486934565;6983,46;7040,57;6794,08;6839,33;0;-2,0854722340003637
28;2000/06/05 12:00:000;147,47;148,22;145,63;146,59;5116900;-0,5985190960909732;7456,22;7486,4;7211,97;7246,79;0;-2,848997118639801
29;2000/06/12 12:00:000;146,97;148,88;144,63;146,59;5621400;-0,25889100166534146;7251,29;7388,24;7173,64;7252,58;0;0,017788355844347757
30;2000/06/19 12:00:000;146,47;149,16;143,88;144,38;5411100;-1,4371916619200837;7134,17;7270,2;6976,97;6980,41;0;-2,178826189720795
31;2000/06/26 12:00:000;145,38;146,98;143,52;145,28;5694800;-0,06880892035061562;6986,89;7085,27;6851,84;6882,44;0;-1,506229568851189
32;2000/07/03 12:00:000;145,44;148,78;144,22;148,09;3295700;1,8056566620243277;6912,97;7090,11;6842,61;7044,77;0;1,8886140246367564
33;2000/07/10 12:00:000;147,88;151,25;147,16;151,25;4965700;2,2532962842519813;7052,68;7342,22;6955,58;7321,94;0;3,746763374954349
34;2000/07/17 12:00:000;150,98;151,98;147,69;147,69;5434600;-2,203189527325985;7320,1;7503,32;7303,91;7378,86;0;0,7995166053615138
35;2000/07/24 12:00:000;148,13;148,86;141,52;142,09;7266000;-4,162960694397684;7377,98;7428,17;7076,37;7128,3;1000000;-3,4427111584145624
36;2000/07/31 12:00:000;142,94;146,72;142,06;146,38;4989100;2,3781018381248327;7135,39;7251,88;6954,6;7016,59;1000000;-1,6789564526336416
37;2000/08/07 12:00:000;146,72;149,22;145,56;147,41;4497000;0,46918115510321684;7020,65;7327,22;7020,65;7322,98;1000000;4,216154261019523
38;2000/08/14 12:00:000;147,78;150,44;147,06;149,69;4800300;1,2841807566642918;7323,87;7380,19;7214,68;7232,42;1000000;-1,2565180166457033
39;2000/08/21 12:00:000;150,03;151,63;149,28;151,25;3658000;0,8098822812028765;7233,74;7333,09;7147,15;7307,17;1000000;1,0099866404319577
40;2000/08/28 12:00:000;151,25;153,59;150,34;152,5;4219900;0,8230499136515443;7320,93;7397,12;7168,52;7344,67;1000000;0,3237511010235142
43;2000/09/11 12:00:000;149,75;151,19;146,0;146,0;4776200;-2,53606152872223;7267,68;7273,3;6976,41;6999,54;1000000;-3,7592688335713933
44;2000/09/18 12:00:000;146,38;146,97;142,42;145,28;6393800;-0,7543065320097805;6959,93;6977,25;6468,46;6740,25;1000000;-3,207240060003181
45;2000/09/25 12:00:000;145,94;146,33;142,13;143,63;7716900;-1,5955029893742656;6739,28;6884,63;6716,84;6798,12;1000000;0,8693009076576269
46;2000/10/02 12:00:000;144,28;145,75;139,75;141,06;7119100;-2,2570524255305147;6800,07;6921,08;6712,48;6776,39;250000;-0,34883944729749394
47;2000/10/09 12:00:000;141,31;141,31;132,78;137,56;9014800;-2,689587303058937;6776,04;6776,04;6383,17;6661,3;0;-1,7078199820661302
48;2000/10/16 12:00:000;137,41;141,19;130,16;139,91;8105700;1,8030201401511552;6668,12;6725,33;6297,49;6615,9;40000;-0,7862118393209914
49;2000/10/23 12:00:000;139,94;141,94;134,03;139,28;7857400;-0,4727463857817018;6614,18;6930,36;6542,87;6924,68;460000;4,587601243166637
50;2000/10/30 12:00:000;138,44;143,91;138,16;142,78;8248400;3,086796530717105;6921,33;7152,45;6880,18;7128,27;1000000;2,946062054502099
51;2000/11/06 12:00:000;143,16;144,3;136,53;136,63;6920300;-4,668634354742856;7139,94;7185,66;6831,4;6851,69;1000000;-4,120903578146085
52;2000/11/13 12:00:000;135,63;140,11;133,02;136,64;9405400;0,7419140065636126;6839,98;6976,63;6690,61;6752,29;1000000;-1,2903101045288201
53;2000/11/20 12:00:000;135,75;136,38;132,13;134,84;5572800;-0,6726068448184812;6755,23;6794,41;6474,5;6664,18;1000000;-1,3570104381136694
54;2000/11/27 12:00:000;136,47;136,69;129,75;132,22;7406200;-3,1637608344590404;6665,25;6804,22;6361,43;6512,91;1000000;-2,312110135258187
55;2000/12/04 12:00:000;131,88;139,47;131,5;133,97;9114600;1,5723476085364247;6507,64;6745,91;6343,45;6691,25;1000000;2,782383143217559
56;2000/12/11 12:00:000;137,38;139,56;130,56;130,97;6848500;-4,778251944442392;6702,25;6813,3;6331,3;6331,3;1000000;-5,693770459890451
57;2000/12/18 12:00:000;132,06;134,97;125,53;130,94;10272100;-0,8517161753480038;6337,81;6505,75;6110,26;6251,4;400000;-1,3727844244313658
60;2001/01/02 12:00:000;132,0;136,0;127,56;129,19;12574800;-2,151773361416104;6431,14;6556,94;6172,44;6382,31;0;-0,7621715678431676
61;2001/01/08 12:00:000;129,88;133,72;127,69;132,0;7112500;1,619097535172578;6368,83;6552,52;6293,49;6490,03;0;1,8851373956816027
64;2001/01/22 12:00:000;134,25;137,31;133,56;135,88;7933800;1,206840990340901;6652,46;6775,26;6594,19;6695,2;0;0,6404140662048218
